word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Batterie	12	4256	448	16	2140	213	20	1658	135	19	1265	98	23	833	51	20	588	29	21	709	32
Bau	7	2898	349	15	1667	169	12	1010	95	16	1068	87	25	739	44	20	566	28	21	711	32
Bauch	21	2967	271	22	1627	149	17	1279	109	18	951	74	30	749	42	22	603	29	20	633	29
Bauer	15	3051	303	19	1776	169	20	1137	92	18	951	74	27	715	42	20	538	27	20	626	29
Baum	19	2162	202	24	1417	127	20	949	77	18	849	66	28	651	38	21	552	27	20	638	29
Becher	13	3093	319	17	1683	165	16	1223	106	19	1111	86	27	751	44	20	549	27	20	695	32
Beere	NA	NA	NA	12	2338	251	17	1556	132	23	1132	83	29	794	45	22	619	30	19	686	32
beginnen	NA	NA	NA	17	2154	211	20	1321	107	18	1041	81	28	807	47	20	539	27	20	638	29
Bein	16	2616	256	20	1548	145	19	1217	100	18	952	75	27	749	44	20	561	28	21	653	30
Beispiel	NA	NA	NA	24	2198	196	21	1439	115	20	1058	80	30	740	42	22	572	28	20	676	31
bekommen	NA	NA	NA	21	1709	158	23	1241	97	20	1123	85	30	789	45	21	578	28	19	702	33
bellen	NA	NA	NA	17	1769	173	18	1339	112	17	1082	86	27	804	47	20	606	30	20	778	36
Berater	5	4092	535	15	2670	270	16	1807	157	17	1507	120	22	1014	63	19	608	31	20	679	31
Berg	13	2739	282	15	1665	168	17	1047	89	18	975	76	25	716	43	21	543	27	20	634	29
Beruf	11	3224	347	20	1883	176	18	1288	108	22	964	71	30	747	42	22	556	27	19	675	31
Besen	11	3081	332	15	1858	188	13	1342	123	18	1063	83	25	820	49	17	605	31	20	690	32
besuchen	NA	NA	NA	19	1900	180	18	1286	108	23	1181	86	30	791	45	21	570	28	20	680	31
Besucher	15	3447	343	18	2228	215	20	1417	115	19	1034	80	27	819	48	21	594	29	19	661	31
beten	NA	NA	NA	14	2163	223	13	1540	142	15	1226	101	21	945	59	18	609	31	21	695	31
Bett	13	2479	256	22	1214	111	20	885	72	21	935	70	30	680	39	20	517	26	20	626	29
Bettdecke	NA	NA	NA	18	2733	263	17	1697	144	19	1308	101	29	913	52	22	587	28	20	690	32
Beule	14	3148	318	19	1901	181	17	1407	120	18	1279	100	25	901	54	18	602	31	21	694	31
Beutel	16	3535	346	20	1843	173	20	1418	115	23	1049	76	30	775	44	22	575	28	20	683	31
bewegen	NA	NA	NA	22	1956	179	20	1266	102	19	995	77	29	768	44	20	587	29	19	670	31
bezahlen	NA	NA	NA	18	2115	204	17	1292	110	21	1019	76	28	736	43	20	549	27	21	657	30
Biene	16	3198	313	18	1862	179	22	1215	96	17	887	71	25	722	43	20	563	28	20	636	29
bieten	NA	NA	NA	12	2144	230	21	1370	110	18	1050	82	27	789	46	21	584	29	20	670	31
Bild	16	2627	257	16	1475	147	19	1100	91	21	964	72	27	680	40	21	554	27	19	641	30
billig	NA	NA	NA	17	2115	207	22	1409	111	19	1098	85	29	788	45	22	565	27	19	748	35
binden	NA	NA	NA	14	2261	233	19	1458	120	19	1216	94	23	872	53	20	577	29	20	710	33
Birne	17	3304	318	20	1986	186	20	1159	94	20	904	69	28	722	42	22	530	26	20	653	30
bitter	NA	NA	NA	19	2243	213	19	1458	120	18	1044	82	25	793	47	21	581	28	20	672	31
Blatt	18	2704	256	19	1498	142	21	1041	83	19	932	72	27	694	41	21	571	28	20	686	31
blau	NA	NA	NA	24	1620	145	19	996	82	20	871	66	28	720	42	22	556	27	19	631	29
Blei	NA	NA	NA	11	2049	225	13	1570	144	14	1024	86	20	909	58	18	585	30	21	702	32
bleiben	NA	NA	NA	19	1847	175	22	1482	117	19	1071	83	28	775	45	20	549	27	21	656	30
blind	NA	NA	NA	15	2139	216	20	1362	111	23	1157	84	31	779	44	21	588	29	20	658	30
Blitz	16	3326	325	22	1491	136	18	1084	91	18	925	72	30	736	42	19	600	30	20	644	30
Block	11	3339	359	19	1778	169	23	1128	88	19	974	75	27	761	44	20	540	27	19	642	30
blöd	NA	NA	NA	21	1895	175	20	1098	89	20	915	70	28	721	42	21	552	27	20	703	32
blond	NA	NA	NA	17	2084	204	21	1301	104	21	1113	83	26	713	42	21	560	27	21	676	31
blühen	NA	NA	NA	15	2184	221	18	1455	121	14	1226	103	27	843	49	20	587	29	20	692	32
Blume	18	2751	261	18	1390	134	23	1019	79	18	873	68	27	666	39	21	556	27	21	634	29
Blut	18	2710	257	18	1673	161	20	1073	87	22	898	66	28	699	40	20	516	26	21	637	29
Boden	15	2854	283	21	1602	148	18	1140	95	18	969	76	29	747	43	21	540	26	20	676	31
Bohne	11	3247	349	18	1958	189	19	1214	100	20	1098	83	30	817	46	22	576	28	20	668	31
Bombe	13	4041	417	15	2043	207	18	1473	123	22	1225	90	26	775	46	20	532	26	20	666	31
Boot	16	2310	226	23	1468	133	20	1086	88	22	980	72	28	725	42	22	523	25	19	634	29
böse	NA	NA	NA	21	1600	148	21	1114	89	22	872	64	26	706	42	19	565	28	20	661	30
boxen	NA	NA	NA	19	1925	183	17	1250	106	18	1054	83	27	775	45	19	600	30	19	717	33
Brand	16	3706	362	21	2048	189	19	1261	104	22	1100	81	29	790	45	20	560	28	20	690	32
braten	NA	NA	NA	22	2261	207	18	1473	123	20	1097	83	27	779	46	22	624	30	20	692	32
brauchen	NA	NA	NA	17	2492	244	19	1348	111	20	1117	85	26	763	45	21	578	28	20	676	31
braun	NA	NA	NA	20	2024	190	22	1123	88	17	998	79	27	775	45	19	586	29	21	673	30
brav	NA	NA	NA	14	1848	190	16	1239	107	18	1075	84	25	833	50	16	617	32	21	708	32
brechen	NA	NA	NA	22	2359	216	21	1463	117	18	1237	97	26	796	47	21	610	30	20	686	31
Bremse	20	4283	396	20	2147	201	19	1461	120	21	1037	78	28	815	47	22	595	29	19	652	30
brennen	NA	NA	NA	14	1920	198	21	1402	112	19	1082	83	28	732	42	21	585	29	21	685	31
Brett	14	3176	321	17	1766	173	22	1150	91	19	1023	79	24	773	47	21	536	26	21	696	32
Brief	14	3399	344	19	1642	156	23	1171	91	18	836	65	28	717	41	21	529	26	20	673	31
Brille	16	3008	294	21	1490	138	22	1192	94	20	889	68	29	775	44	21	534	26	20	635	29
bringen	NA	NA	NA	20	2226	209	17	1340	114	20	1052	80	31	777	44	21	573	28	20	666	31
Brot	20	2560	236	23	1394	126	21	991	79	21	833	62	30	686	39	21	540	26	20	619	28
Brötchen	16	3771	369	22	1945	178	22	1177	93	20	968	74	28	774	45	22	524	25	20	669	31
Brotdose	NA	NA	NA	18	2820	272	20	1828	148	18	1366	107	25	986	59	18	672	34	20	774	36
Brücke	14	2989	302	19	1802	171	19	1128	93	18	948	74	28	735	43	20	535	27	20	661	30
Bruder	15	3547	352	18	2109	203	20	1219	99	23	1026	75	29	712	41	22	534	26	20	674	31
brummen	NA	NA	NA	18	2475	238	18	1553	130	21	1261	94	27	1049	61	16	686	36	20	740	34
Brunnen	18	4360	414	15	1998	202	14	1372	123	20	1191	90	23	827	51	20	627	31	21	684	31
Buch	17	1978	190	23	1230	111	19	942	77	16	966	78	30	666	38	22	549	27	19	683	32
Buchstabe	NA	NA	NA	20	2453	230	22	1549	122	20	1130	86	28	855	49	21	585	29	20	745	34
Bucht	NA	NA	NA	10	1631	184	12	1448	136	13	1212	104	25	893	53	20	614	30	19	703	33
bunt	NA	NA	NA	23	1534	139	20	1046	85	19	945	73	28	764	44	19	550	28	20	665	31
Burg	11	2538	273	17	1873	183	19	1085	89	20	866	66	27	723	42	19	582	29	18	642	30
Bürste	16	3794	371	16	2058	205	21	1397	112	21	1143	86	26	861	51	18	592	30	20	687	32
Bus	14	2420	245	19	1317	125	17	1072	91	23	890	65	28	749	43	20	548	27	20	716	33
Busch	14	3049	308	22	1849	169	22	1341	106	21	987	74	30	806	46	20	626	31	19	690	32
Butter	17	3021	291	20	1573	147	21	1118	89	22	809	60	26	689	41	21	537	26	20	658	30
Butterbrot	NA	NA	NA	18	2298	221	21	1534	123	20	1273	97	26	892	53	21	566	28	20	744	34
Clown	9	3400	385	21	1743	161	20	1204	97	21	1076	81	26	815	48	21	609	30	18	768	36
Computer	NA	NA	NA	21	1885	174	21	1247	100	22	1043	77	29	802	46	21	586	29	20	728	33
Dach	14	2085	211	16	1373	136	21	1101	88	19	929	72	27	725	42	21	569	28	21	678	31
Dackel	NA	NA	NA	15	1912	193	21	1201	96	17	1054	84	24	815	49	20	563	28	20	668	31
Dame	13	2739	282	19	1547	147	16	1101	95	18	1008	79	25	726	43	21	541	27	21	663	30
dauern	NA	NA	NA	14	2063	213	16	1387	120	22	1253	92	30	831	47	22	620	30	20	697	32
Daumen	21	3080	281	18	1895	182	17	1387	118	21	1052	79	29	709	41	21	554	27	20	692	32
Decke	13	2658	274	20	1791	168	19	1146	94	23	980	71	30	669	38	22	526	25	20	676	31
Deckel	14	2981	301	16	2150	214	18	1161	97	19	1016	78	30	756	43	21	572	28	20	671	31
denken	NA	NA	NA	21	1915	177	20	1231	100	21	985	74	28	772	45	21	524	26	20	659	30
deutsch	NA	NA	NA	21	1807	167	23	1061	83	21	1000	75	29	739	42	22	569	28	20	644	30
Dezember	NA	NA	NA	18	1724	166	20	1181	96	19	1064	82	29	775	44	20	543	27	20	661	30
Diamant	NA	NA	NA	19	2422	230	11	1563	151	17	1245	99	27	796	47	18	590	30	20	680	31
dicht	NA	NA	NA	18	1926	186	22	1265	100	20	1094	83	24	803	49	21	576	28	21	652	30
dick	NA	NA	NA	18	1523	147	19	1176	97	18	915	72	27	722	42	21	580	28	20	687	32
