subj	trial	item	utterance	ERR	stim	session	task	RT	difficulty
023	52	Baum.bmp	Traum	0	pIFG	1	pho	1277,07360097862	
024	52	Baum.bmp	kaum	0	aIFG	2	pho	1541,55844731453	
103	52	Baum.bmp	kaum	0	aIFG	1	pho	1357,36364361631	
001	13	Beil.bmp	Seil	0	aIFG	2	pho	1362,08658730088	
002	12	Beil.bmp	Seil	0	pIFG	1	pho	1092,8787972804	
003	13	Beil.bmp	Keil	0	vertex	3	pho	2438,91774738279	
004	13	Beil.bmp	Keil	0	vertex	1	pho	1144,83117781067	
005	13	Beil.bmp	Pfeil	0	aIFG	3	pho	1664,35498311334	
006	13	Beil.bmp	Keil	0	aIFG	2	pho	2028,02164682522	
007	13	Beil.bmp	Keil	0	vertex	3	pho	1305,41126308604	
008	13	Beil.bmp	Keil	0	pIFG	1	pho	1136,66666666666	
009	13	Beil.bmp	Seil	0	pIFG	2	pho	1319,58009413975	
010	13	Beil.bmp	Keil	0	aIFG	3	pho	2207,49350683887	
011	13	Beil.bmp	Pfeil	0	vertex	1	pho	1659,63203942877	
012	13	Beil.bmp	Seil	0	pIFG	2	pho	927,575768320465	
013	13	Beil.bmp	Pfeil	0	vertex	3	pho	1376,25541835459	
014	13	Beil.bmp	Keil	0	pIFG	1	pho	1489,60606678426	
015	13	Beil.bmp	Seil	0	pIFG	2	pho	1763,53680048931	
016	13	Beil.bmp	Pfeil	0	pIFG	3	pho	2651,45021318843	
017	13	Beil.bmp	Seil	0	vertex	1	pho	1376,66666666666	
018	13	Beil.bmp	heil	0	aIFG	3	pho	4077,7792059285	
019	13	Beil.bmp	heil	0	vertex	3	pho	1536,83550362996	
020	13	Beil.bmp	Heil	0	pIFG	1	pho	1777,70563154302	
021	13	Beil.bmp	Keil	0	aIFG	2	pho	1319,58009413975	
022	13	Beil.bmp	Seil	0	pIFG	2	pho	1376,25541835459	
023	13	Beil.bmp	Seil	0	aIFG	3	pho	2660,89610055756	
024	13	Beil.bmp	Keil	0	vertex	1	pho	1069,26407885755	
103	13	Beil.bmp	Seil	0	vertex	3	pho	1305,41126308604	
001	10	Berg.bmp	Zwerg	0	vertex	1	pho	1621,84848995222	
002	1	Berg.bmp	Zwerg	0	aIFG	3	pho	979,528148850732	
003	1	Berg.bmp	NA	1	pIFG	2	pho	2335,01298632225	
004	1	Berg.bmp	NA	1	pIFG	3	pho	2250	
005	1	Berg.bmp	Zwerg	0	vertex	2	pho	1102,32468464954	
006	1	Berg.bmp	Zwerg	0	vertex	1	pho	1333,74892519346	
007	1	Berg.bmp	Zwerg	0	pIFG	2	pho	1012,58875464272	
008	1	Berg.bmp	Zwerg	0	aIFG	3	pho	1380,97836203916	
009	1	Berg.bmp	Zwerg	0	aIFG	1	pho	1140,1082341261	
010	1	Berg.bmp	Zwerg	0	vertex	2	pho	1031,480529381	
011	1	Berg.bmp	Zwerg	0	pIFG	3	pho	1371,53247467002	
012	1	Berg.bmp	Zwerg	0	aIFG	1	pho	828,3939509445	
013	1	Berg.bmp	Zwerg	0	pIFG	2	pho	1201,50650202551	
014	1	Berg.bmp	Zwerg	0	aIFG	3	pho	1295,9653757169	
015	1	Berg.bmp	Zwerg	0	aIFG	1	pho	1612,40260258308	
016	1	Berg.bmp	Zwerg	0	vertex	1	pho	1111,77057201868	
017	1	Berg.bmp	Zwerg	0	pIFG	3	pho	1083,43290991126	
018	1	Berg.bmp	NA	1	vertex	2	pho	2250	
019	1	Berg.bmp	Berg	1	pIFG	2	pho	1536,66666666666	
020	1	Berg.bmp	Zwerg	0	aIFG	3	pho	1258,18182624034	
021	1	Berg.bmp	Zwerg	0	vertex	1	pho	1069,26407885755	
022	1	Berg.bmp	Zwerg	0	aIFG	1	pho	1272,35065729405	
023	1	Berg.bmp	Zwerg	0	vertex	2	pho	1026,75758569643	
024	1	Berg.bmp	Zwerg	0	pIFG	3	pho	1409,31602414658	
103	1	Berg.bmp	NA	1	pIFG	2	pho	2250	
001	39	Besen.bmp	Wesen	0	vertex	1	pho	1815,48918101958	
002	11	Besen.bmp	Tresen	0	aIFG	3	pho	1168,44589623352	
003	11	Besen.bmp	NA	1	pIFG	2	pho	2250	
004	11	Besen.bmp	Wesen	0	pIFG	3	pho	1216,66666666666	
005	11	Besen.bmp	Wesen	0	vertex	2	pho	1631,29437732136	
006	11	Besen.bmp	lesen	0	vertex	1	pho	2032,74459050979	
007	11	Besen.bmp	lesen	0	pIFG	2	pho	2231,10822526172	
008	11	Besen.bmp	Spesen	0	aIFG	3	pho	1645,46320837507	
009	11	Besen.bmp	Wesen	0	aIFG	1	pho	1483,33333333333	
010	11	Besen.bmp	Spesen	0	vertex	2	pho	2004,40692840237	
011	11	Besen.bmp	Wesen	0	pIFG	3	pho	2061,0822526172	
012	11	Besen.bmp	lesen	0	aIFG	1	pho	1144,83117781067	
013	11	Besen.bmp	lesen	0	pIFG	2	pho	1376,66666666666	
014	11	Besen.bmp	Wesen	0	aIFG	3	pho	1508,49784152254	
015	11	Besen.bmp	lesen	0	aIFG	1	pho	3973,87444486796	
016	11	Besen.bmp	lesen	0	vertex	1	pho	2256,66666666666	
017	11	Besen.bmp	gewesen	0	pIFG	3	pho	1296,66666666666	
018	11	Besen.bmp	lesen	0	vertex	2	pho	3733,0043169549	
019	11	Besen.bmp	Wesen	0	pIFG	2	pho	1403,33333333333	
020	11	Besen.bmp	Wesen	0	aIFG	3	pho	1772,98268785845	
021	11	Besen.bmp	NA	1	vertex	1	pho	2250	
022	11	Besen.bmp	Wesen	0	aIFG	1	pho	2495,59307159762	
023	11	Besen.bmp	NA	1	vertex	2	pho	2250	
024	11	Besen.bmp	lesen	0	pIFG	3	pho	2117,75757683204	
103	11	Besen.bmp	NA	1	pIFG	2	pho	2250	
001	51	Bild.bmp	NA	1	pIFG	3	pho	2250	
002	51	Bild.bmp	Schild	0	vertex	2	pho	1536,83550362996	
003	51	Bild.bmp	NA	1	aIFG	1	pho	2250	
004	51	Bild.bmp	NA	1	aIFG	2	pho	2250	
005	51	Bild.bmp	Schild	0	pIFG	1	pho	1664,35498311334	
006	51	Bild.bmp	Wild	0	pIFG	3	pho	1509,99999999999	
007	51	Bild.bmp	Kilt	0	aIFG	1	pho	1872,16450523441	
008	51	Bild.bmp	Schild	0	vertex	2	pho	1050,37230411927	
009	51	Bild.bmp	NA	1	vertex	3	pho	2250	
010	51	Bild.bmp	NA	1	pIFG	1	pho	2250	
011	51	Bild.bmp	Wild	0	aIFG	2	pho	1428,20779888486	
012	51	Bild.bmp	Wild	0	vertex	3	pho	2245,27705631543	
013	51	Bild.bmp	Schild	0	aIFG	1	pho	3581,87011904867	
014	51	Bild.bmp	Wild	0	vertex	2	pho	2122,48052051661	
015	51	Bild.bmp	Wild	0	vertex	3	pho	1829,65801207329	
016	51	Bild.bmp	NA	1	aIFG	2	pho	2250	
017	51	Bild.bmp	Schild	0	aIFG	2	pho	2339,73593000682	
018	51	Bild.bmp	NA	1	pIFG	1	pho	2250	
019	51	Bild.bmp	wild	0	aIFG	1	pho	1371,53247467002	
020	51	Bild.bmp	Schild	0	vertex	2	pho	1295,9653757169	
021	51	Bild.bmp	NA	1	pIFG	3	pho	2250	
022	51	Bild.bmp	Wild	0	vertex	3	pho	2547,54545212789	
023	51	Bild.bmp	Wild	0	pIFG	1	pho	1206,22944571008	
024	51	Bild.bmp	Schild	0	aIFG	2	pho	1791,87446259673	
103	51	Bild.bmp	mild	0	aIFG	1	pho	2056,66666666666	
001	42	Blut.bmp	Wut	0	pIFG	3	pho	2528,65367738961	
002	42	Blut.bmp	Hut	0	vertex	2	pho	1636,01732100593	
003	42	Blut.bmp	Flut	0	aIFG	1	pho	1966,62337892581	
004	42	Blut.bmp	Gut	0	aIFG	2	pho	2004,40692840237	
005	42	Blut.bmp	Wut	0	pIFG	1	pho	1069,26407885755	
006	42	Blut.bmp	Glut	0	pIFG	3	pho	1961,90043524124	
007	42	Blut.bmp	Flut	0	aIFG	1	pho	2401,13419790623	
008	42	Blut.bmp	Wut	0	vertex	2	pho	1069,26407885755	
009	42	Blut.bmp	Hut	0	vertex	3	pho	1363,33333333333	
010	42	Blut.bmp	Glut	0	pIFG	1	pho	2925,38094689347	
011	42	Blut.bmp	Wut	0	aIFG	2	pho	1924,11688576468	
012	42	Blut.bmp	Mut	0	vertex	3	pho	2160,26406999317	
013	42	Blut.bmp	Gut	0	aIFG	1	pho	3596,03895010238	
014	42	Blut.bmp	Glut	0	vertex	2	pho	2769,52380530267	
015	42	Blut.bmp	Gut	0	vertex	3	pho	3624,3766122098	
016	42	Blut.bmp	Wut	0	aIFG	2	pho	1347,91775624717	
017	42	Blut.bmp	Wut	0	aIFG	2	pho	1754,09091312017	
018	42	Blut.bmp	Glut	0	pIFG	1	pho	2821,47618583294	
019	42	Blut.bmp	NA	1	aIFG	1	pho	2250	
020	42	Blut.bmp	tut	1	vertex	2	pho	3096,66666666666	
021	42	Blut.bmp	Brut	0	pIFG	3	pho	1980,79220997952	
022	42	Blut.bmp	Wut	0	vertex	3	pho	1494,32901046883	
023	42	Blut.bmp	Wut	0	pIFG	1	pho	1206,22944571008	
024	42	Blut.bmp	Hut	0	aIFG	2	pho	1281,79654466319	
103	42	Blut.bmp	NA	1	aIFG	1	pho	2250	
001	1	Bruecke.bmp	NA	1	vertex	1	pho	426,94373775607	
002	6	Bruecke.bmp	Muecke	0	aIFG	3	pho	1216,66666666666	
003	6	Bruecke.bmp	NA	1	pIFG	2	pho	2250	
004	6	Bruecke.bmp	Kruecke	0	pIFG	3	pho	1206,22944571008	
005	6	Bruecke.bmp	Luecke	0	vertex	2	pho	1196,78355834094	
006	6	Bruecke.bmp	Luecke	0	vertex	1	pho	1333,74892519346	
007	6	Bruecke.bmp	Stuecke	0	pIFG	2	pho	2046,9134215635	
008	6	Bruecke.bmp	Luecke	0	aIFG	3	pho	1338,47186887803	
009	6	Bruecke.bmp	Muecke	0	aIFG	1	pho	1216,66666666666	
010	6	Bruecke.bmp	Luecke	0	vertex	2	pho	2391,68831053709	
011	6	Bruecke.bmp	Luecke	0	pIFG	3	pho	1403,33333333333	
012	6	Bruecke.bmp	Luecke	0	aIFG	1	pho	1003,33333333333	
013	6	Bruecke.bmp	Kruecke	0	pIFG	2	pho	1636,01732100593	
014	6	Bruecke.bmp	Luecke	0	aIFG	3	pho	1483,33333333333	
015	6	Bruecke.bmp	Luecke	0	aIFG	1	pho	1366,80953098545	
016	6	Bruecke.bmp	Tuecke	0	vertex	1	pho	1803,33333333333	
017	6	Bruecke.bmp	Luecke	0	pIFG	3	pho	1262,90476992491	
018	6	Bruecke.bmp	Luecke	0	vertex	2	pho	2075,25108367091	
019	6	Bruecke.bmp	Luecke	0	pIFG	2	pho	1092,8787972804	
020	6	Bruecke.bmp	Kruecke	0	aIFG	3	pho	1772,98268785845	
021	6	Bruecke.bmp	Luecke	0	vertex	1	pho	1097,60174096497	
022	6	Bruecke.bmp	Luecke	0	aIFG	1	pho	1239,29005150207	
023	6	Bruecke.bmp	Luecke	0	vertex	2	pho	1022,03464201186	
024	6	Bruecke.bmp	Stuecke	0	pIFG	3	pho	1796,5974062813	
103	6	Bruecke.bmp	Luecke	0	pIFG	2	pho	1262,90476992491	
001	27	Buch.bmp	Tuch	0	vertex	1	pho	1919,39394208011	
002	19	Buch.bmp	Tuch	0	aIFG	3	pho	1045,6493604347	
003	19	Buch.bmp	NA	1	pIFG	2	pho	2250	
004	19	Buch.bmp	Tuch	0	pIFG	3	pho	1036,20347306557	
005	19	Buch.bmp	Gesuch	0	vertex	2	pho	1829,65801207329	
006	19	Buch.bmp	Tuch	0	vertex	1	pho	1650,18615205963	
007	19	Buch.bmp	Tuch	0	pIFG	2	pho	1040,92641675013	
008	19	Buch.bmp	Tuch	0	aIFG	3	pho	979,528148850732	
009	19	Buch.bmp	Tuch	0	aIFG	1	pho	1669,07792679791	
010	19	Buch.bmp	Tuch	0	vertex	2	pho	3750	
011	19	Buch.bmp	Tuch	0	pIFG	3	pho	1234,5671078175	
012	19	Buch.bmp	Tuch	0	aIFG	1	pho	918,129880951325	
013	19	Buch.bmp	Tuch	0	pIFG	2	pho	1508,49784152254	
014	19	Buch.bmp	Tuch	0	aIFG	3	pho	1409,31602414658	
015	19	Buch.bmp	Tuch	0	aIFG	1	pho	1710	
016	19	Buch.bmp	Tuch	0	vertex	1	pho	1286,51948834776	
017	19	Buch.bmp	Fluch	0	pIFG	3	pho	1088,15585359583	
018	19	Buch.bmp	such	1	vertex	2	pho	3019,83982058487	
019	19	Buch.bmp	Suche	1	pIFG	2	pho	1173,16883991809	
020	19	Buch.bmp	Tuch	0	aIFG	3	pho	1343,1948125626	
021	19	Buch.bmp	Tuch	0	vertex	1	pho	1109,99999999999	
022	19	Buch.bmp	Pfusch	1	aIFG	1	pho	2183,87878841602	
023	19	Buch.bmp	Tuch	0	vertex	2	pho	1036,20347306557	
024	19	Buch.bmp	such	1	pIFG	3	pho	2079,97402735548	
103	19	Buch.bmp	Tuch	0	pIFG	2	pho	1352,64069993174	
001	26	Buegel.bmp	Zuegel	0	pIFG	3	pho	1447,09957362313	
002	26	Buegel.bmp	Fluegel	0	vertex	2	pho	1829,65801207329	
003	26	Buegel.bmp	Pruegel	0	aIFG	1	pho	1716,30736364361	
004	26	Buegel.bmp	Huegel	0	aIFG	2	pho	1173,16883991809	
005	26	Buegel.bmp	Zuegel	0	pIFG	1	pho	1083,43290991126	
006	26	Buegel.bmp	Huegel	0	pIFG	3	pho	1229,84416413293	
007	26	Buegel.bmp	Huegel	0	aIFG	1	pho	2604,22077634273	
008	26	Buegel.bmp	Huegel	0	vertex	2	pho	1810,76623733501	
009	26	Buegel.bmp	Huegel	0	vertex	3	pho	1163,72295254895	
010	26	Buegel.bmp	Huegel	0	pIFG	1	pho	2741,18614319525	
011	26	Buegel.bmp	Huegel	0	aIFG	2	pho	1357,36364361631	
012	26	Buegel.bmp	Zuegel	0	vertex	3	pho	1428,20779888486	
013	26	Buegel.bmp	Huegel	0	aIFG	1	pho	2179,15584473145	
014	26	Buegel.bmp	Fluegel	0	vertex	2	pho	1522,66667257625	
015	26	Buegel.bmp	Huegel	0	vertex	3	pho	1862,71861786527	
016	26	Buegel.bmp	NA	1	aIFG	2	pho	2250	
017	26	Buegel.bmp	Pruegel	0	aIFG	2	pho	1376,25541835459	
018	26	Buegel.bmp	NA	1	pIFG	1	pho	2250	
019	26	Buegel.bmp	NA	1	aIFG	1	pho	2250	
020	26	Buegel.bmp	Huegel	0	vertex	2	pho	1258,18182624034	
021	26	Buegel.bmp	Huegel	0	pIFG	3	pho	1909,94805471097	
022	26	Buegel.bmp	Huegel	0	vertex	3	pho	1173,16883991809	
023	26	Buegel.bmp	Fluegel	0	pIFG	1	pho	1163,72295254895	
024	26	Buegel.bmp	NA	1	aIFG	2	pho	2141,37229525489	
103	26	Buegel.bmp	Fluegel	0	aIFG	1	pho	2382,24242316795	
001	48	Bus.bmp	Nuss	0	vertex	1	pho	1843,826843127	
002	36	Bus.bmp	Kuss	0	aIFG	3	pho	1763,53680048931	
003	36	Bus.bmp	Fuss	1	pIFG	2	pho	2216,93939420801	
004	36	Bus.bmp	NA	1	pIFG	3	pho	2250	
005	36	Bus.bmp	Nuss	0	vertex	2	pho	1283,33333333333	
006	36	Bus.bmp	NA	1	vertex	1	pho	2250	
007	36	Bus.bmp	Kuss	0	pIFG	2	pho	1281,79654466319	
008	36	Bus.bmp	Fuss	1	aIFG	3	pho	960,636374112453	
009	36	Bus.bmp	NA	1	aIFG	1	pho	2250	
010	36	Bus.bmp	Kuss	0	vertex	2	pho	2250	
011	36	Bus.bmp	Kuss	0	pIFG	3	pho	2268,89177473827	
012	36	Bus.bmp	muss	1	aIFG	1	pho	1843,826843127	
013	36	Bus.bmp	Kuss	0	pIFG	2	pho	2131,92640788575	
014	36	Bus.bmp	Kuss	0	aIFG	3	pho	2660,89610055756	
015	36	Bus.bmp	Mus	1	aIFG	1	pho	2500,31601528219	
016	36	Bus.bmp	Kuss	0	vertex	1	pho	3836,90907801544	
017	36	Bus.bmp	Kuss	0	pIFG	3	pho	1768,25974417388	
018	36	Bus.bmp	muss	0	vertex	2	pho	3590	
019	36	Bus.bmp	Fluss	0	pIFG	2	pho	1569,89610942195	
020	36	Bus.bmp	Kuss	0	aIFG	3	pho	2457,80952212107	
021	36	Bus.bmp	NA	1	vertex	1	pho	2250	
022	36	Bus.bmp	NA	1	aIFG	1	pho	2250	
023	36	Bus.bmp	Kuss	0	vertex	2	pho	1399,87013677744	
024	36	Bus.bmp	NA	1	pIFG	3	pho	2580,60605791988	
103	36	Bus.bmp	NA	1	pIFG	2	pho	2250	
001	47	Butter.bmp	Futter	0	aIFG	2	pho	1938,28571681839	
002	1	Butter.bmp	Mutter	0	pIFG	1	pho	1229,99999999999	
003	47	Butter.bmp	Futter	0	vertex	3	pho	2533,37662107418	
004	47	Butter.bmp	Mutter	0	vertex	1	pho	2070	
005	47	Butter.bmp	Kutter	0	aIFG	3	pho	2911,21211583976	
006	47	Butter.bmp	Mutter	0	aIFG	2	pho	2110	
007	47	Butter.bmp	Mutter	0	vertex	3	pho	963,333333333333	
008	47	Butter.bmp	Mutter	0	pIFG	1	pho	1503,77489783797	
009	47	Butter.bmp	Mutter	0	pIFG	2	pho	1430	
010	47	Butter.bmp	Mutter	0	aIFG	3	pho	2883,33333333333	
011	47	Butter.bmp	Mutter	0	vertex	1	pho	1239,29005150207	
012	47	Butter.bmp	Mutter	0	pIFG	2	pho	1296,66666666666	
013	47	Butter.bmp	Kutter	0	vertex	3	pho	1569,89610942195	
014	47	Butter.bmp	Mutter	0	pIFG	1	pho	1730,47619469732	
015	47	Butter.bmp	Futter	0	pIFG	2	pho	1465,99134836141	
016	47	Butter.bmp	Mutter	0	pIFG	3	pho	1856,66666666666	
017	47	Butter.bmp	Kutter	0	vertex	1	pho	1867,44156154984	
018	47	Butter.bmp	Mutter	0	aIFG	3	pho	1416,66666666666	
019	47	Butter.bmp	Mutter	2	vertex	3	pho	1796,5974062813	
020	47	Butter.bmp	Mutter	0	pIFG	1	pho	1296,66666666666	
021	47	Butter.bmp	Futter	0	aIFG	2	pho	1952,4545478721	
022	47	Butter.bmp	NA	1	pIFG	2	pho	2250	
023	47	Butter.bmp	Kutter	0	aIFG	3	pho	2689,23376266498	
024	47	Butter.bmp	Mutter	0	vertex	1	pho	1432,93074256943	
103	47	Butter.bmp	Mutter	0	vertex	3	pho	1430	
001	48	Dampf.bmp	Kampf	0	pIFG	3	pho	2457,80952212107	
002	48	Dampf.bmp	Mampf	1	vertex	2	pho	1687,96970153619	
003	48	Dampf.bmp	NA	1	aIFG	1	pho	2212,21645052344	
004	48	Dampf.bmp	Kampf	0	aIFG	2	pho	1277,07360097862	
005	48	Dampf.bmp	NA	1	pIFG	1	pho	2250	
006	48	Dampf.bmp	Kampf	0	pIFG	3	pho	1003,14286727358	
007	48	Dampf.bmp	Kampf	0	aIFG	1	pho	1177,89178360266	
008	48	Dampf.bmp	Krampf	0	vertex	2	pho	1517,94372889168	
009	48	Dampf.bmp	Kampf	0	vertex	3	pho	2722,29436845697	
010	48	Dampf.bmp	NA	1	pIFG	1	pho	2250	
011	48	Dampf.bmp	Kampf	0	aIFG	2	pho	1286,51948834776	
012	48	Dampf.bmp	Stampf	1	vertex	3	pho	1994,96104103323	
013	48	Dampf.bmp	NA	1	aIFG	1	pho	2438,91774738279	
014	48	Dampf.bmp	Krampf	0	vertex	2	pho	1749,3679694356	
015	48	Dampf.bmp	NA	1	vertex	3	pho	2250	
016	48	Dampf.bmp	Krampf	0	aIFG	2	pho	4243,08223488844	
017	48	Dampf.bmp	Kampf	0	aIFG	2	pho	1816,66666666666	
018	48	Dampf.bmp	Krampf	0	pIFG	1	pho	3496,85713272641	
019	48	Dampf.bmp	Kampf	0	aIFG	1	pho	1796,5974062813	
020	48	Dampf.bmp	Krampf	0	vertex	2	pho	3062,346313746	
021	48	Dampf.bmp	Kampf	0	pIFG	3	pho	2670	
022	48	Dampf.bmp	Kampf	0	vertex	3	pho	1730,47619469732	
023	48	Dampf.bmp	Krampf	0	pIFG	1	pho	1366,80953098545	
024	48	Dampf.bmp	Kampf	0	aIFG	2	pho	1324,30303782432	
103	48	Dampf.bmp	NA	1	aIFG	1	pho	2250	
001	38	Degen.bmp	Segen	0	pIFG	3	pho	3416,56709008873	
002	38	Degen.bmp	Segen	0	vertex	2	pho	1305,41126308604	
003	38	Degen.bmp	NA	1	aIFG	1	pho	1617,12554626765	
004	38	Degen.bmp	Regen	0	aIFG	2	pho	1352,64069993174	
005	38	Degen.bmp	Segen	0	pIFG	1	pho	965,359317797023	
006	38	Degen.bmp	wegen	0	pIFG	3	pho	2043,33333333333	
007	38	Degen.bmp	Segen	0	aIFG	1	pho	1078,70996622669	
008	38	Degen.bmp	Segen	0	vertex	2	pho	1026,75758569643	
009	38	Degen.bmp	Segen	0	vertex	3	pho	1687,96970153619	
010	38	Degen.bmp	Regen	0	pIFG	1	pho	1338,47186887803	
011	38	Degen.bmp	Segen	0	aIFG	2	pho	2547,54545212789	
012	38	Degen.bmp	Segen	0	vertex	3	pho	946,467543058744	
013	38	Degen.bmp	Regen	0	aIFG	1	pho	1744,64502575103	
014	38	Degen.bmp	NA	1	vertex	2	pho	2250	
015	38	Degen.bmp	Segen	0	vertex	3	pho	1999,6839847178	
016	38	Degen.bmp	Fegen	0	aIFG	2	pho	3610,20778115609	
017	38	Degen.bmp	fegen	0	aIFG	2	pho	1593,5108278448	
018	38	Degen.bmp	Segen	0	pIFG	1	pho	1163,72295254895	
019	38	Degen.bmp	Regen	0	aIFG	1	pho	1376,25541835459	
020	38	Degen.bmp	Segen	0	vertex	2	pho	1456,54546099227	
021	38	Degen.bmp	Segen	0	pIFG	3	pho	1517,94372889168	
022	38	Degen.bmp	Regen	0	vertex	3	pho	1281,79654466319	
023	38	Degen.bmp	Segen	0	pIFG	1	pho	1177,89178360266	
024	38	Degen.bmp	wegen	0	aIFG	2	pho	2089,41991472462	
103	38	Degen.bmp	Segen	0	aIFG	1	pho	1631,29437732136	
001	53	Dose.bmp	Hose	0	pIFG	3	pho	1621,84848995222	
002	53	Dose.bmp	Rose	0	vertex	2	pho	1187,3376709718	
003	53	Dose.bmp	NA	1	aIFG	1	pho	2250	
004	53	Dose.bmp	Hose	0	aIFG	2	pho	1136,66666666666	
