noun	adj	Meaningful	Subject	order	condition	resp_resp	accuracy	RTs	NA_ID	TMS_Timing	DistSim	surprisal	noun_comp	adj_comp
fiamma	pigra	0	34	24	cz	0	1	584,60929	fiammapigra	adj	0,045414	NA	NA	NA
fiamma	viva	1	34	28	cz	1	1	1248,59752	fiammaviva	adj	0,216274	2,279429335	0,853498	0,693353
folla	rinsavita	0	34	20	cz	0	1	901,51688	follarinsavita	adj	0,160667	NA	NA	NA
formaggio	fiacco	0	34	40	cz	0	1	619,64991	formaggiofiacco	adj	0,076118	NA	NA	NA
formaggio	fresco	1	34	1	cz	1	1	466,80437	formaggiofresco	adj	0,406516	1,605466861	0,87782	0,794474
fragola	fresca	1	34	70	cedx	1	1	633,72628	fragolafresca	adj	0,282877	3,860637417	0,803578	0,798203
fragola	rancida	0	34	57	cedx	1	0	1035,88997	fragolarancida	adj	0,336059	NA	NA	NA
fumo	nero	1	34	52	cz	1	1	601,52289	fumonero	adj	0,187792	1,934960346	0,8382	0,693067
fumo	pulito	0	34	15	cedx	0	1	637,78267	fumopulito	adj	0,158131	NA	NA	NA
gallina	giovane	0	34	66	cz	0	1	510,02648	gallinagiovane	adj	0,173204	NA	NA	NA
gallina	vecchia	1	34	58	cedx	1	1	508,55912	gallinavecchia	adj	0,236694	2,002513173	0,874646	0,678011
ghiaccio	snello	0	34	21	cz	0	1	691,77347	ghiacciosnello	adj	0,039913	NA	NA	NA
gufo	muto	0	34	36	cz	0	1	790,56193	gufomuto	adj	0,184299	NA	NA	NA
gufo	parlante	1	34	32	cedx	0	0	860,77253	gufoparlante	adj	0,276014	3,04453976	0,775149	0,821188
inverno	lento	0	34	22	cz	0	1	674,60229	invernolento	adj	0,128872	NA	NA	NA
inverno	lungo	1	34	9	cedx	1	1	475,32794	invernolungo	adj	0,13534	2,869845258	0,818146	0,680448
investigatore	pubblico	0	34	43	cz	0	1	603,84197	investigatorepubblico	adj	0,26436	NA	NA	NA
lago	maggiore	1	34	58	cz	1	1	524,50381	lagomaggiore	adj	0,077047	1,293199897	0,843189	0,600984
latte	diviso	0	34	14	cz	0	1	562,50159	lattediviso	adj	0,060378	NA	NA	NA
latte	materno	1	34	33	cedx	1	1	734,80757	lattematerno	adj	0,39702	1,646809708	0,836518	0,835019
latte	paterno	0	34	41	cz	0	1	700,44196	lattepaterno	adj	0,030377	NA	NA	NA
letto	caldo	1	34	10	cz	1	1	540,08938	lettocaldo	adj	0,178368	3,240072488	0,754475	0,780378
letto	temperato	0	34	61	cedx	0	1	827,60232	lettotemperato	adj	0,036329	NA	NA	NA
limone	blu	0	34	54	cedx	0	1	502,21313	limoneblu	adj	0,262335	NA	NA	NA
limone	giallo	1	34	11	cedx	1	1	749,92995	limonegiallo	adj	0,276293	3,244636915	0,83999	0,753563
limone	rosso	0	34	67	cz	0	1	514,8653	limonerosso	adj	0,301269	NA	NA	NA
mela	gialla	1	34	5	cedx	0	0	482,73412	melagialla	adj	0,251848	3,066270004	0,788762	0,793533
mela	nera	0	34	12	cz	0	1	567,58582	melanera	adj	0,114461	NA	NA	NA
mela	rossa	1	34	39	cz	1	1	868,22578	melarossa	adj	0,195855	2,63490624	0,764355	0,782011
melanzana	gialla	0	34	35	cz	1	0	630,55144	melanzanagialla	adj	0,352686	NA	NA	NA
melanzana	viola	1	34	25	cedx	1	1	614,69202	melanzanaviola	adj	0,211252	2,720737977	0,777986	0,778453
notte	opaca	0	34	59	cz	0	1	607,99676	notteopaca	adj	0,067427	NA	NA	NA
notte	superficiale	0	34	47	cedx	0	1	835,48195	nottesuperficiale	adj	-0,01228	NA	NA	NA
oca	bianca	1	34	69	cz	1	1	459,70116	ocabianca	adj	0,271075	2,227993766	0,864455	0,71822
orso	affamato	1	34	62	cedx	1	1	516,83629	orsoaffamato	adj	0,256477	3,131003459	0,801456	0,783603
orso	polare	1	34	7	cz	1	1	590,62088	orsopolare	adj	0,262964	1,605958652	0,781128	0,807805
orso	sazio	0	34	66	cedx	1	0	665,86668	orsosazio	adj	0,105814	NA	NA	NA
orso	tropicale	0	34	27	cz	0	1	564,43075	orsotropicale	adj	0,186279	NA	NA	NA
pecora	nera	1	34	31	cedx	1	1	484,04176	pecoranera	adj	0,269043	1,492089765	0,832878	0,757129
pelle	sensibile	1	34	38	cz	1	1	436,85573	pellesensibile	adj	0,235845	2,607198634	0,820895	0,748574
peperone	cremisi	0	34	22	cedx	0	1	749,76652	peperonecremisi	adj	0,22132	NA	NA	NA
peperone	giallo	1	34	38	cedx	1	1	605,26645	peperonegiallo	adj	0,407756	1,35019202	0,892293	0,776059
peperone	ocra	0	34	34	cz	0	1	995,7429	peperoneocra	adj	0,30173	NA	NA	NA
peperone	rosso	1	34	13	cz	1	1	465,65793	peperonerosso	adj	0,411046	1,187366743	0,899929	0,76741
pera	corta	0	34	57	cz	0	1	586,59054	peracorta	adj	0,156699	NA	NA	NA
persona	aperta	1	34	4	cedx	1	1	656,10092	personaaperta	adj	0,016258	4,336303373	0,666357	0,756368
pianeta	blu	0	34	43	cedx	1	0	1117,01878	pianetablu	adj	0,108379	NA	NA	NA
pianeta	rosso	1	34	69	cedx	1	1	806,84466	pianetarosso	adj	0,133895	1,730210105	0,78321	0,721027
piccione	verde	0	34	54	cz	0	1	681,51378	piccioneverde	adj	0,178005	NA	NA	NA
poltrona	piena	0	34	20	cedx	0	1	960,29069	poltronapiena	adj	0,027325	NA	NA	NA
poltrona	vuota	1	34	3	cedx	1	1	461,42925	poltronavuota	adj	0,234839	2,665926433	0,814744	0,754939
pomodoro	fresco	1	34	28	cedx	1	1	725,13623	pomodorofresco	adj	0,365177	1,562698501	0,876171	0,76867
pomodoro	rancido	0	34	53	cz	1	0	641,50961	pomodororancido	adj	0,329137	NA	NA	NA
principe	azzurro	1	34	16	cedx	1	1	465,23581	principeazzurro	adj	0,294223	1,560258144	0,797356	0,811396
quercia	stretta	0	34	37	cz	0	1	568,6354	querciastretta	adj	0,032943	NA	NA	NA
romanzo	giallo	1	34	42	cz	1	1	1043,08802	romanzogiallo	adj	0,398377	2,184394274	0,854339	0,817044
sale	grosso	1	34	19	cz	1	1	711,73634	salegrosso	adj	0,16393	2,21808096	0,817716	0,701884
sale	sottile	0	34	48	cz	0	1	612,33306	salesottile	adj	0,188835	NA	NA	NA
scatola	fatata	0	34	59	cedx	0	1	555,19926	scatolafatata	adj	0,198285	NA	NA	NA
scatola	magica	1	34	9	cz	1	1	634,69924	scatolamagica	adj	0,162758	2,136244802	0,773997	0,750721
scuola	materna	1	34	52	cedx	1	1	742,69942	scuolamaterna	adj	0,659003	1,757710446	0,886511	0,932234
scuola	paterna	0	34	67	cedx	0	1	818,67668	scuolapaterna	adj	0,281539	NA	NA	NA
sedia	analogica	0	34	44	cz	0	1	838,09004	sediaanalogica	adj	-0,00834	NA	NA	NA
sedia	elettrica	1	34	42	cedx	1	1	545,0125	sediaelettrica	adj	0,279832	1,551468936	0,822373	0,776345
segretaria	privata	1	34	18	cz	1	1	672,77189	segretariaprivata	adj	0,106352	2,855559534	0,779861	0,705343
soldato	complesso	0	34	34	cedx	0	1	733,61726	soldatocomplesso	adj	0,050858	NA	NA	NA
soldato	semplice	1	34	64	cz	1	1	446,46051	soldatosemplice	adj	0,088631	2,23207629	0,836071	0,620564
