subject	condition	task	word	category	accuracy	raw_rt	log10_rt
23	sham	S	Kanone	SA	1	1203.0	3.0802656273398448	
23	sham	S	Seil	_A	1	1346.0	3.1290450598879582	
23	sham	S	Flöte	SA	1	1768.0	3.2474822606770544	
23	sham	S	Krawatte	_A	1	935.0	2.9708116108725178	
23	sham	S	Plakette	__	1	1723.0	3.2362852774480286	
23	sham	S	Nelke	__	1	975.0	2.989004615698537	
23	sham	S	Flyer	_A	1	906.0	2.957128197676813	
23	sham	S	Geläut	S_	1	1252.0	3.097604328874411	
23	sham	S	Zange	_A	1	857.0	2.932980821923198	
23	sham	S	Mikrofon	SA	1	828.0	2.9180303367848803	
23	sham	S	Geröll	S_	0	1999.0	3.300812794118117	
23	sham	S	Elefant	S_	0	853.0	2.930949031167523	
23	sham	S	Abbildung	__	1	1179.0	3.071513805095089	
23	sham	S	Pullover	_A	1	1151.0	3.0610753236297916	
23	sham	S	Schraube	_A	1	1244.0	3.0948203803548	
23	sham	S	Zwiebel	_A	1	1161.0	3.064832219738574	
23	sham	S	Schaf	S_	1	1533.0	3.185542154854375	
23	sham	S	Lüftung	S_	1	2374.0	3.3754807146185724	
23	sham	S	Flinte	SA	1	942.0	2.9740509027928774	
23	sham	S	Kleber	_A	1	2276.0	3.3571722577230334	
23	sham	S	Kuchen	_A	1	1455.0	3.162862993321926	
23	sham	S	Pferd	SA	1	1816.0	3.2591158441850663	
23	sham	S	Alge	__	1	1148.0	3.059941888061955	
23	sham	S	Bohrer	SA	1	1431.0	3.1556396337597765	
23	sham	S	Spatz	S_	1	2195.0	3.34143452457814	
23	sham	S	Wellensittich	S_	1	1128.0	3.0523090996473234	
23	sham	S	Floh	__	1	997.0	2.998695158311656	
23	sham	S	Eule	S_	0	1513.0	3.179838928023187	
23	sham	S	Harfe	SA	1	751.0	2.8756399370041685	
23	sham	S	Häcksler	SA	1	1239.0	3.0930713063760633	
23	sham	S	Sirene	S_	1	1089.0	3.037027879755775	
23	sham	S	Spinne	__	1	1314.0	3.118595365223762	
23	sham	S	Satellit	__	1	1728.0	3.2375437381428744	
23	sham	S	Kajak	_A	1	1690.0	3.2278867046136734	
23	sham	S	Höhle	__	1	1113.0	3.0464951643347082	
23	sham	S	Tornado	S_	1	1435.0	3.156851901070011	
23	sham	S	Dach	__	1	1969.0	3.2942457161381182	
23	sham	S	Keyboard	SA	1	1203.0	3.0802656273398448	
23	sham	S	Giraffe	__	1	1936.0	3.286905352972375	
23	sham	S	Frisbee	_A	1	1534.0	3.185825359612962	
23	sham	S	Hornisse	S_	1	1719.0	3.2352758766870524	
23	sham	S	Specht	S_	1	1389.0	3.1427022457376155	
23	sham	S	Waffel	_A	1	1306.0	3.115943176939055	
23	sham	S	Posaune	SA	1	1018.0	3.00774777800074	
23	sham	S	Baby	SA	1	1779.0	3.250175948083925	
23	sham	S	Pavian	S_	1	1388.0	3.142389466118836	
23	sham	S	Wasserfall	S_	1	1254.0	3.0982975364946976	
23	sham	S	Amsel	S_	1	877.0	2.9429995933660407	
23	sham	S	Pfeiler	__	1	911.0	2.9595183769729982	
23	sham	S	Kröte	S_	1	1611.0	3.207095540419218	
23	sham	S	Gong	SA	1	1040.0	3.0170333392987803	
23	sham	S	Telefon	SA	1	1152.0	3.061452479087193	
23	sham	S	Cembalo	SA	0	3245.0	3.511214701136388	
23	sham	S	Löffel	_A	1	1271.0	3.104145550554008	
23	sham	S	Raupe	__	1	1040.0	3.0170333392987803	
23	sham	S	Pinsel	_A	1	873.0	2.9410142437055695	
23	sham	S	Ukulele	SA	1	1081.0	3.03382569395331	
23	sham	S	Maske	_A	1	876.0	2.9425041061680806	
23	sham	S	Seife	_A	1	915.0	2.9614210940664485	
23	sham	S	Schabe	__	1	915.0	2.9614210940664485	
23	sham	S	Moped	SA	1	1437.0	3.157456768134226	
23	sham	S	Xylophon	SA	1	759.0	2.88024177589548	
23	sham	S	Auster	__	1	785.0	2.8948696567452528	
23	sham	S	Kamm	_A	1	980.0	2.9912260756924947	
23	sham	S	Tanne	__	1	1260.0	3.100370545117563	
23	sham	S	Ananas	_A	1	1483.0	3.1711411510283822	
23	sham	S	Knopf	_A	1	1241.0	3.09377178149873	
23	sham	S	Käfer	__	1	1253.0	3.09795107099415	
23	sham	S	Ferkel	S_	1	1305.0	3.1156105116742996	
23	sham	S	Propeller	S_	1	2543.0	3.405346360175709	
23	sham	S	Schlagzeug	SA	1	883.0	2.9459607035775686	
23	sham	S	Tablett	_A	1	988.0	2.9947569445876283	
23	sham	S	Skorpion	__	1	1105.0	3.0433622780211294	
23	sham	S	Biber	__	0	2121.0	3.3265406685165617	
23	sham	S	Krähe	S_	1	1712.0	3.2335037603411343	
23	sham	S	Kontrabass	SA	0	1266.0	3.1024337056813365	
23	sham	S	Serviette	_A	1	1001.0	3.000434077479319	
23	sham	S	Lawine	S_	1	2771.0	3.442636525782232	
23	sham	S	Zigarette	_A	1	824.0	2.9159272116971158	
11	pIPL	S	Amsel	S_	1	1053.0	3.0224283711854865	
11	pIPL	S	Gecko	__	0	1447.0	3.1604685311190375	
11	pIPL	S	Maske	_A	1	758.0	2.8796692056320534	
11	pIPL	S	Pullover	_A	1	912.0	2.959994838328416	
11	pIPL	S	Wellensittich	S_	1	832.0	2.920123326290724	
11	pIPL	S	Pfeiler	__	1	795.0	2.9003671286564705	
11	pIPL	S	Pavian	S_	1	1006.0	3.0025979807199086	
11	pIPL	S	Posaune	SA	1	771.0	2.8870543780509568	
11	pIPL	S	Dach	__	1	833.0	2.9206450014067875	
11	pIPL	S	Serviette	_A	1	721.0	2.857935264719429	
11	pIPL	S	Tablett	_A	1	926.0	2.966610986681934	
11	pIPL	S	Gazelle	__	1	1154.0	3.0622058088197126	
11	pIPL	S	Schlagzeug	SA	1	676.0	2.829946695941636	
11	pIPL	S	Salamander	__	1	720.0	2.8573324964312685	
11	pIPL	S	Abbildung	__	1	631.0	2.8000293592441343	
11	pIPL	S	Kuchen	_A	1	636.0	2.803457115648414	
11	pIPL	S	Lawine	S_	1	933.0	2.9698816437465	
11	pIPL	S	Harfe	SA	1	703.0	2.846955325019824	
11	pIPL	S	Knopf	_A	1	821.0	2.9143431571194407	
11	pIPL	S	Kajak	_A	1	675.0	2.829303772831025	
11	pIPL	S	Ente	S_	1	714.0	2.8536982117761744	
11	pIPL	S	Pinsel	_A	1	683.0	2.8344207036815328	
11	pIPL	S	Nachtigall	S_	1	868.0	2.938519725176492	
