Subject	Age	Gender	Scolarity	Handedness	Session	Stimulus_Type	Ita_Word	Eng_Word	Accuracy	RTs
1	22	male	16	right	1	Pseudoword	MOPPO		1	497
1	22	male	16	right	1	Pseudoword	RIAVRELLI		1	550
1	22	male	16	right	1	Word	PROGRESSO	progress	1	671
1	22	male	16	right	1	Word	STUFA	stove	1	582
1	22	male	16	right	1	Pseudoword	RISSEZZIAMO		1	612
1	22	male	16	right	1	Pseudoword	VAFOINA		1	582
1	22	male	16	right	1	Word	MILIONARIO	millionaire	1	587
1	22	male	16	right	1	Pseudoword	INTENSUNFEVA		1	566
1	22	male	16	right	1	Word	DANNO	damage	1	1429
1	22	male	16	right	1	Pseudoword	CONCANE		1	1075
1	22	male	16	right	1	Word	SUGHERO	cork	1	659
1	22	male	16	right	1	Pseudoword	INDERRO		1	630
1	22	male	16	right	1	Pseudoword	FIMPIBILE		1	674
1	22	male	16	right	1	Pseudoword	DALIGOLALE		1	893
1	22	male	16	right	1	Word	MATITA	pencil	1	558
1	22	male	16	right	1	Pseudoword	RIMORTA		1	836
1	22	male	16	right	1	Word	CRUDELE	cruel	1	615
1	22	male	16	right	1	Word	FAMOSO	famous	1	460
1	22	male	16	right	1	Word	DENARO	money	1	588
1	22	male	16	right	1	Word	DISINVOLTO	nonchalant	1	596
1	22	male	16	right	1	Pseudoword	RIMMUNFATO		1	782
1	22	male	16	right	1	Pseudoword	LIGLI		1	530
1	22	male	16	right	1	Word	RADIATORE	radiator	1	712
1	22	male	16	right	1	Pseudoword	MARTOSE		1	680
1	22	male	16	right	1	Word	PRESSIONE	pressure	1	711
1	22	male	16	right	1	Pseudoword	BUTIMENTE		1	723
1	22	male	16	right	1	Pseudoword	BEFIERNE		1	632
1	22	male	16	right	1	Word	FISCHIO	whistle	1	666
1	22	male	16	right	1	Word	STUPIDO	stupid	1	750
1	22	male	16	right	1	Word	MOBILE	cabinet	1	540
1	22	male	16	right	1	Pseudoword	REDRA		1	524
1	22	male	16	right	1	Word	MUSEO	museum	1	630
1	22	male	16	right	1	Word	ROCCIA	rock	1	546
1	22	male	16	right	1	Word	NASCONDERE	hide	1	793
1	22	male	16	right	1	Word	PARADISO	paradise	1	881
